Sulfolobus_solfataricus_98_2_Complete_GCF000024745v1.RefSeq <D>Archaea<P>Crenarchaeota<C>Thermoprotei<O>Sulfolobales<F>Sulfolobaceae<G>Saccharolobus<S>Saccharolobus_solfataricus
Sulfolobus_solfataricus_Strain_P1_WGS_GCF900079115v1.RefSeq <D>Archaea<P>Crenarchaeota<C>Thermoprotei<O>Sulfolobales<F>Sulfolobaceae<G>Saccharolobus<S>Saccharolobus_solfataricus
Sulfolobus_solfataricus_P2_Complete_GCF000007005v1.RefSeq <D>Archaea<P>Crenarchaeota<C>Thermoprotei<O>Sulfolobales<F>Sulfolobaceae<G>Saccharolobus<S>Saccharolobus_solfataricus
Methanotorris_igneus_Kol_5_Complete_GCF000214415v1.RefSeq <D>Archaea<P>Euryarchaeota<C>Methanococci<O>Methanococcales<F>Methanocaldococcaceae<G>Methanotorris<S>Methanotorris_igneus
Methanocaldococcus_infernus_ME_Complete_GCF000092305v1.RefSeq <D>Archaea<P>Euryarchaeota<C>Methanococci<O>Methanococcales<F>Methanocaldococcaceae<G>Methanocaldococcus<S>Methanocaldococcus_infernus
Methanocaldococcus_vulcanius_M7_Complete_GCF000024625v1.RefSeq <D>Archaea<P>Euryarchaeota<C>Methanococci<O>Methanococcales<F>Methanocaldococcaceae<G>Methanocaldococcus<S>Methanocaldococcus_vulcanius
Methanocaldococcus_bathoardescens_Strain_JH146_WGS_GCF000739065v1.RefSeq <D>Archaea<P>Euryarchaeota<C>Methanococci<O>Methanococcales<F>Methanocaldococcaceae<G>Methanocaldococcus<S>Methanocaldococcus_bathoardescens
Methanocaldococcus_jannaschii_DSM_2661_Complete_GCF000091665v1.RefSeq <D>Archaea<P>Euryarchaeota<C>Methanococci<O>Methanococcales<F>Methanocaldococcaceae<G>Methanocaldococcus<S>Methanocaldococcus_jannaschii
Methanocaldococcus_fervens_AG86_Complete_GCF000023985v1.RefSeq <D>Archaea<P>Euryarchaeota<C>Methanococci<O>Methanococcales<F>Methanocaldococcaceae<G>Methanocaldococcus<S>Methanocaldococcus_fervens
Methanothermococcus_okinawensis_IH1_Complete_GCF000179575v2.RefSeq <D>Archaea<P>Euryarchaeota<C>Methanococci<O>Methanococcales<F>Methanococcaceae<G>Methanothermococcus<S>Methanothermococcus_okinawensis
Methanococcus_aeolicus_Nankai_3_Complete_GCF000017185v1.RefSeq <D>Archaea<P>Euryarchaeota<C>Methanococci<O>Methanococcales<F>Methanococcaceae<G>Methanococcus<S>Methanococcus_aeolicus
Methanococcus_voltae_A3_Complete_GCF000006175v1.RefSeq <D>Archaea<P>Euryarchaeota<C>Methanococci<O>Methanococcales<F>Methanococcaceae<G>Methanococcus<S>Methanococcus_voltae
