Strain(T),Domain(D),Phylum(P),Class(C),Order(O),Family(F),Genus(G),Species(S)
AB184789,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_hiroshimensis
AB184100,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_pseudoechinosporeus
AB184850,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_cinnamoneus
AB184864,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_ardus
EF654100,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_cinnamoneus
AY999802,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_blastmyceticus
AB184636,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_olivoverticillatus
AB184792,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_netropsis
KY242372,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_tunisialbus
AB184871,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_fervens
DQ442558,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_werraensis
AB184720,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_stramineus
AY999790,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_eurocidicus
KM229361,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_bambusae
LC073309,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_palmae
MN116550,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_coffeae
EF408735,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_mordarskii
AB249962,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_yatensis
AB184283,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_melanosporofaciens
AB184606,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_geldanamycininus
AB184709,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_castelarensis
AJ391833,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_javensis
DQ334783,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_indonesiensis
AJ391818,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_griseiniger
AB249950,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_cangkringensis
AB249941,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_rhizosphaericus
AB249947,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_asiaticus
EF408733,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_rapamycinicus
FJ472862,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_iranensis
AB184428,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_hygroscopicus
DQ334782,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_demainii
AB249942,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_yogyakartensis
AB184420,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_violaceusniger
AJ391812,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_albiflaviniger
MK503616,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_sabulosicollis
KY366443,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_solisilvae
AB249918,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_malaysiensis
EU077190,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_samsunensis
EU170123,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_aldersoniae
AB184301,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_sparsogenes
AB184090,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_cuspidosporus
EU170124,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_wellingtoniae
EU170126,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_milbemycinicus
EU170121,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_ascomycinicus
EF408736,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_himastatinicus
JF917242,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_zagrosensis
FN421338,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_youssoufiensis
KX777593,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_amphotericinicus
MK702081,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_botrytidirepellens
MW326223,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_rhizoryzae
AB184678,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_noursei
AB024440,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_albulus
AF346818,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_yunnanensis
DQ094838,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_lunalinharesii
FR692111,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_staurosporininus
AY999753,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_albospinus
OK576049,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_pinistramenti
AB184476,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_celluloflavus
AB024441,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_kasugaensis
MH727580,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_inhibens
AJ391816,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_auratus
Y15507,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_lydicus
DQ026654,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_sioyaensis
BBNO01000000,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_lydicamycinicus
AB184414,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_libani
AJ621612,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_tubercidicus
DQ442530,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_nigrescens
KP050495,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_kronopolitis
AB045882,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_platensis
AB184479,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_hygroscopicus
AJ781351,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_libani
AB184640,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_caniferus
VKJP01000100,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_benahoarensis
DQ026662,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_ramulosus
AB217605,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_misakiensis
AJ621613,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_catenulae
AJ621610,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_paromomycinus
AJ621609,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_chrestomyceticus
AB045880,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_albofaciens
AJ621608,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_sclerotialus
AB045883,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_rimosus
DQ445790,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_monomycini
AJ621606,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_olivaceiscleroticus
AJ621607,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_niger
AB184094,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_ochraceiscleroticus
AJ621605,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_violens
AJ621604,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_purpurogeneiscleroticus
FR692107,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_cocklensis
MN116536,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_acidipaludis
KF923804,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_bryophytorum
LC333557,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_epipremni
AY876941,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_rubidus
AF101415,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_yeochonensis
AY876943,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_paucisporeus
AY876940,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_yanglinensis
AY876942,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_guanduensis
MW201570,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_acididurans
AB473554,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_marinus
AB473556,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_haliclonae
GU434243,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_albidus
JN989306,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_ovatisporus
KF982696,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_daqingensis
JQ864430,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_karpasiensis
MT036271,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_bathyalis
HQ585117,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_glycovorans
HQ585118,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_xishensis
HQ585121,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_abyssalis
EU589334,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_nanshensis
MH518265,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_desertarenae
KU860456,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_salilacus
AB184616,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_macrosporus
AB184617,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_megasporus
AB184664,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_glaucosporus
JQ862602,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_barkulensis
EU912466,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_pini
LC069041,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_verrucosisporus
DQ912930,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_radiopugnans
HE577171,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_atacamensis
GQ871748,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_nanhaiensis
GU356598,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_fenghuangensis
JQ862603,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_chitinivorans
DQ442546,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_sulphureus
JQ819259,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_halophytocola
KX021819,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_litoralis
AJ621602,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_albus
AB184115,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_cacaoi
AB894335,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_oryzae
MW602308,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_spirodelae
KF006349,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_smyrnaeus
MK251555,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_boncukensis
AB473555,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_tateyamensis
AB245388,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_panacagri
HQ660227,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_qinglanensis
KX347891,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_reniochalinae
KX347890,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_diacarni
AY999901,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_albiaxialis
FR693804,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_pharmamarensis
JQ345722,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_phytohabitans
AB018092,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_armeniacus
EU200685,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_artemisiae
EU683612,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_axinellae
KC959223,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_iconiensis
OK442639,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_gossypii
MN567187,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_lycii
OP967483,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_zingiberis
MZ497413,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_gobiensis
MW144955,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_tardus
KY318506,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_durbertensis
MH430523,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_alkaliterrae
AY785161,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_daliensis
AB738400,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_chumphonensis
EF577247,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_xinghaiensis
AJ849545,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_sparsus
KJ632660,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Mangrovactinospora,Mangrovactinospora_gilvigrisea
Z68097,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_thermolineatus
KX119420,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_capparidis
AB184589,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_vitaminophilus
ARCK01000107,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_vitaminophilus
KM000839,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Wenjunlia,Wenjunlia_tyrosinilytica
AF074412,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptacidiphilus,Streptacidiphilus_carbonis
AF074415,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptacidiphilus,Streptacidiphilus_albus
JX484798,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptacidiphilus,Streptacidiphilus_durhamensis
KC111778,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptacidiphilus,Streptacidiphilus_hamsterleyensis
AF074410,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptacidiphilus,Streptacidiphilus_neutrinimicus
MF993054,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptacidiphilus,Streptacidiphilus_monticola
MT823303,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptacidiphilus,Streptacidiphilus_fuscans_
AB249948,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptacidiphilus,Streptacidiphilus_jiangxiensis
DQ994689,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptacidiphilus,Streptacidiphilus_melanogenes
MG189375,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptacidiphilus,Streptacidiphilus_pinicola
DQ208700,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptacidiphilus,Streptacidiphilus_oryzae
MK089584,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Peterkaempfera,Peterkaempfera_bronchialis
OL468733,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Kitasatospora,Kitasatospora_humi
AY442267,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Kitasatospora,Kitasatospora_arboriphila
AY613990,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Kitasatospora,Kitasatospora_viridis
U93322,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Kitasatospora,Kitasatospora_kifunensis
U93312,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Kitasatospora,Kitasatospora_azatica
AJ781364,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Kitasatospora,Kitasatospora_purpeofusca
AY260167,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Kitasatospora,Kitasatospora_sampliensis
AY189976,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Kitasatospora,Kitasatospora_putterlickiae
AB915215,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_lactacystinicus
AB184801,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Kitasatospora,Kitasatospora_herbaricolor
AB184214,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Kitasatospora,Kitasatospora_indigofera
AB184178,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Kitasatospora,Kitasatospora_aburaviensis
AJ781324,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_purpureus
AB184645,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_chrysomallus
AY999858,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Kitasatospora,Kitasatospora_xanthocidica
AY207608,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Kitasatospora,Kitasatospora_aureofaciens
AB184554,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Kitasatospora,Kitasatospora_psammotica
AB045881,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Kitasatospora,Kitasatospora_aureofaciens
DQ026645,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Kitasatospora,Kitasatospora_atroaurantiaca
AY442265,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Kitasatospora,Kitasatospora_gansuensis
AB278569,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Kitasatospora,Kitasatospora_kazusensis
U93324,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Kitasatospora,Kitasatospora_mediocidica
AY442268,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Kitasatospora,Kitasatospora_paranensis
AY442266,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Kitasatospora,Kitasatospora_terrestris
U93318,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Kitasatospora,Kitasatospora_cystarginea
U93328,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Kitasatospora,Kitasatospora_paracochleata
OR119836,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Kitasatospora,Kitasatospora_fiedleri
AF050493,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Kitasatospora,Kitasatospora_cheerisanensis
AB022869,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Kitasatospora,Kitasatospora_phosalacinea
AB022876,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Kitasatospora,Kitasatospora_niigatensis
AB022875,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Kitasatospora,Kitasatospora_cineracea
AB278568,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Kitasatospora,Kitasatospora_saccharophila
U93332,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Kitasatospora,Kitasatospora_setae
U93320,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Kitasatospora,Kitasatospora_griseola
AB249964,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_glauciniger
HE573871,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_erringtonii
